id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26800336,Private Suite & Entrance - South Nashville,23044206,Gretchen,,District 26,36.06438,-86.75345,Entire home/apt,59,1,85,2019-11-12,5.47,1,227
26801739,Modern Town Home in Charlotte Park/The Nations,201542767,Kelsey,,District 20,36.1574,-86.86606,Private room,50,1,30,2019-01-26,1.95,1,0
26807090,NEW! Cozy 2BD Nashville Home Close to Restaurants,126174,Karla,,District 6,36.17915,-86.72608,Entire home/apt,80,1,67,2019-10-26,4.13,41,331
26812177,Walk to ALL/Broadway/Honky Tonks/2 BDRM/2 Bath!!!,49996257,Kimberly,,District 19,36.17434,-86.78041,Entire home/apt,197,3,64,2019-11-17,4.25,4,332
26812474,Relaxing 1 Bed Retreat Just Outside Music City,134780538,Frank,,District 3,36.27736,-86.76406,Entire home/apt,59,2,103,2019-11-03,6.29,1,27
26815783,GULCH SUPERSTAR ★ 3BR - 3.5 BATH ★ 7 COMFY BEDS,101426897,Host Extraordinaires,,District 17,36.13669,-86.79,Entire home/apt,312,2,34,2019-10-27,2.09,122,346
26829645,Downtown Hillsboro Village retreat.,25901249,Taylor,,District 18,36.13238,-86.81067,Entire home/apt,325,3,7,2019-05-27,0.43,1,89
26841988,Fatherland Street Victorian Cottage,184447917,Judy,,District 6,36.17349,-86.74382,Entire home/apt,60,2,100,2019-11-16,6.93,1,28
26847198,B2) JUST LISTED! Right in Heart of The Gulch/12S,132613025,Tyler,,District 17,36.13721,-86.78881,Entire home/apt,299,2,48,2019-11-03,3.06,37,229
26848775,"WALK TO FIVE POINTS >> Clean, PRIVATE Guesthouse",201929123,Deb,,District 6,36.18746,-86.74221,Entire home/apt,115,2,59,2019-11-11,3.74,1,348
26864246,The Hawkins,202039111,Nashville Corporate Rentals,,District 6,36.17364,-86.7427,Entire home/apt,74,31,1,2019-05-06,0.15,1,0
26876313,Soak up the Opulent Feel of a Lavish Monochrome Abode,126174,Karla,,District 5,36.17442,-86.76351,Entire home/apt,93,30,2,2018-10-10,0.13,41,353
26889883,Luxury townhouse master bedroom walkable East Nash,45289333,Scott And Stefi,,District 5,36.18245,-86.74938,Private room,51,32,1,2019-01-20,0.10,5,0
26892397,Walkable East Nashville bedroom with own bathroom,45289333,Scott And Stefi,,District 5,36.18291,-86.75106,Private room,50,32,0,,,5,0
26900742,The Johnny Cash Suite,150990116,Jennifer,,District 21,36.18226,-86.80913,Entire home/apt,90,1,147,2019-10-15,9.02,2,28
26916889,Bring Pets to a Hip East Nashville Getaway,26952016,Brian,,District 7,36.2297,-86.71449,Entire home/apt,225,1,57,2019-11-04,3.63,2,316
26917701,Hey Y'all Downtown Nashville 6 WALK TO IT ALL!,28196034,Hey Yall Nashville,,District 19,36.16368,-86.78453,Entire home/apt,125,1,77,2019-11-07,4.74,17,92
26938080,"East Nash Home, Live Like a Local, patio&parking",179578779,Ricky,,District 6,36.18111,-86.72448,Entire home/apt,91,1,35,2019-11-03,2.73,2,76
26948467,Urban Oasis in City Heights Downtown Nashville,161316384,Wayne,,District 21,36.15662,-86.81624,Entire home/apt,49,30,4,2019-08-04,0.33,3,92
26954785,Newer 3 level town home w/rooftop deck and view!,161489238,Dave,,District 5,36.19066,-86.77105,Entire home/apt,109,2,49,2019-11-11,3.30,1,150
26954842,Log Cabin Retreat minutes from Downtown Nashville,31159071,Cory,,District 3,36.25474,-86.80834,Entire home/apt,99,2,55,2019-11-03,3.46,2,343
26959969,2 Bedroom Zen Retreat 5 Miles to Downtown,18103126,Lloyd,,District 25,36.10725,-86.78207,Entire home/apt,100,2,60,2019-11-17,3.83,3,329
26981507,Blue Beauty - Germantown Dream!,85360355,StayLocal,,District 19,36.17903,-86.80078,Entire home/apt,99,1,38,2019-10-30,2.38,115,345
26990097,Melrose Bungalow in Historic Woodland,16636575,Winston,,District 17,36.12885,-86.77589,Entire home/apt,425,2,33,2019-11-10,3.07,1,167
26992168,Walkable & Spacious Victorian Gem in Heart of East Nashville,85360355,StayLocal,,District 6,36.18023,-86.74493,Entire home/apt,99,1,35,2019-10-30,2.28,115,337
26992170,Experiential Artist-Centric Home In The Hills,65814161,Jaan,,District 22,36.11782,-86.92858,Entire home/apt,450,1,10,2019-10-20,1.08,1,89
26996194,Rustic Nashville Home <10minutes from Downtown,203121079,John,,District 21,36.15771,-86.82759,Entire home/apt,167,2,34,2019-11-17,2.19,2,87
